27,42.80189,-1.66665,,VENTA DE ANDRÉS 2,17:10,M02568,19,naranja,amarillo,blanco,,19:35,3,F,1.5,1.5,,181,0,,47.99,,69.55,,34.98,,11.54,,20.57,,179,,59,,110,,134,,142,,147,,149,,144,,134,,129,,121,,25.04,,40.87,,221,true,,true,,false,,false,,false,,true,,20:10,,Antonio Vilches
29,42.80154,-1.66709,04/09/14,VENTA DE ANDRÉS 1,17:10,M02567,18,naranja,amarillo,naranja,,17:30,3,M,1.5,1.5,,219,0,,51.91,,76.02,,41.1,,13.08,,20.66,,188,,55.5,,109,,136,,144.5,,151,,153.5,,150,,142,,133.5,,131,,20.58,,32.61,,222,true,,true,,false,,false,,false,,true,,20:10,,Antonio Vilches
31,42.79744,-1.65494,01/09/14,"POLIDEPORTIVO UN, PRADERA ABAJO",19:00,M6000,17,naranja,amarillo,amarillo,,19:40,6,U,1,1.5,,198,0,,48.73,,70.65,,39.23,,12.48,,18.51,,178.5,,53,,0,,0,,0,,141.5,,144,,140.5,,133.5,,130,,127,,4.46,,0,,227,true,,true,,,,,,,,true,,19:15,,Antonio Vilches
32,42.80009,-1.66538,21/08/14,DONAPEA ABAJO,18:20,M5999,16,naranja,amarillo,azul,,19:40,6,M,1.5,1.5,,208,0,,47.66,,74.28,,40.87,,12.35,,18.62,,0,,55,,113,,0,,0,,153,,154,,148,,143,,137,,131,,10.63,,18.67,,248,true,,true,,,,,,,,true,,20:10,,Antonio Vilches
34,42.81336,-1.64951,21/08/14,,07:45,M5980,231,amarillo,amarillo,,,08:00,6,M,0,1.5,true,200,0,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,true,,09:00,"RECAPTURA CON CAMBIO DE ANILLAS DE COLOR. SE CAMBIA DER-AMARILLO-AZUL, IZQ-NADA-NADA POR LA NUEVA COMBINACIÓN DE COLOR CON ID231. CAPTURADO SIN COMIDA.",Antonio Vilches
35,42.80044,-1.66174,19/08/14,UN PARKING COMEDORES,18:00,M5992,5,naranja,blanco,,,19:25,6,U,0,1.5,true,207,0,false,,false,,false,,false,,false,,false,,false,,true,106.5,true,135,false,,false,,false,,true,152,true,146,true,140,true,133,false,,false,,false,,false,,false,,false,,false,,false,,true,,19:30,RECAPTURA,Antonio Vilches
36,42.79754,-1.65292,18/08/14,UN CUESTA ESKIROZ,17:15,M5998,14,naranja,azul,verde,,18:50,3,U,2.5,1.5,true,180,0,true,47.77,true,69.44,true,36.29,true,12.15,true,18.97,true,178,true,0,true,112,true,134.5,true,141,true,145,true,146,true,139.5,true,135.5,true,127,true,125,true,24.95,true,35.58,true,213,true,,true,,false,,false,,false,,true,,19:25,QUERATITIS CORNEAL EN OJO DERECHO,Antonio Vilches
37,42.79749,-1.65295,18/08/14,UN CUESTA ESKIROZ,17:15,M5997,13,naranja,azul,morado,,17:35,3,U,2,1,true,209,0,true,51.5,true,70.62,true,37.45,true,12.38,true,20.71,true,195,false,,true,114,true,141.5,true,149.5,true,151.5,true,156.5,true,156,true,147.5,true,141,true,136,true,21.13,true,30.8,true,221,true,,true,,false,,false,,false,,true,,19:25,,Antonio Vilches
38,42.79804,-1.65205,15/08/14,UN COMPOST,16:35,M5996,12,naranja,azul,blanco,,19:30,3,U,2.5,1.5,true,218,0,true,47.61,true,73.18,true,40.15,true,13.16,true,20.78,true,193,false,,true,116,true,144,true,152.5,true,157,true,154.5,true,151,true,145.5,true,139.5,true,135.5,true,21.15,true,33.49,true,240,true,,true,,false,,false,,false,,true,,20:30,,Antonio Vilches
39,42.79805,-1.65208,15/08/14,UN COMPOST,16:35,M5995,11,naranja,azul,naranja,,19:00,3,U,2,1,true,226,0,true,46.32,true,71.98,true,39.64,true,12.71,true,19.1,true,192,false,,true,122.5,true,144,true,153.5,true,155.5,true,157,true,156,true,148.5,true,141,true,136,true,25.92,true,44.8,true,253,true,,true,,false,,false,,false,,true,,20:30,,Antonio Vilches
40,42.79806,-1.65206,15/08/14,UN COMPOST,16:35,M5994,10,naranja,azul,amarillo,,18:00,3,U,2,1.5,true,190,0,true,47.29,true,70.51,true,38.73,true,12.1,true,18.91,true,185,false,,true,112,true,135.5,true,144,true,149,true,145.5,true,146,true,138.5,true,132.5,true,128,true,26.11,true,34.66,true,234,true,,true,,false,,false,,false,,true,,20:30,,Antonio Vilches
41,42.79803,-1.65207,15/10/14,UN COMPOST,16:35,M5993,9,naranja,azul,azul,,17:30,3,U,0,1.5,true,164,0,true,46.42,true,68.76,true,35.97,true,10.83,true,19.88,true,175.5,false,,true,105.5,true,130,true,139,true,142.5,true,145,true,138.5,true,132.5,true,127.5,true,124.5,true,21.75,true,28.05,true,205,true,,true,,false,,false,,false,,true,,20:30,,Antonio Vilches
42,42.80044,-1.66176,13/08/14,UN PARKING COMEDORES,17:35,M5992,5,naranja,blanco,,,18:47,6,F,0,1,true,220,5,true,51.28,true,76.32,true,41.3,true,13.47,true,18.08,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,false,,true,8.71,true,14.79,true,236,true,,true,,false,,false,,false,,true,,21:00,,Antonio Vilches
